EGMAID,EGM Area Name,Region
1,CITY OF WHITTLESEA,M
2,SHIRE OF NORTHERN GRAMPIANS,C
3,CITY OF GREATER GEELONG,C
4,SHIRE OF COLAC-OTWAY,C
5,SHIRE OF MOORABOOL,C
6,SHIRE OF CENTRAL GOLDFIELDS,C
7,SHIRE OF MITCHELL,C
8,SHIRE OF ALPINE,C
9,RURAL CITY OF BENALLA,C
10,SHIRE OF CAMPASPE,C
11,SHIRE OF GLENELG,C
12,Shire of Wellington,C
13,Rural City of Wodonga,C
14,City of Warrnambool,C
15,City of Greater Bendigo,C
16,City of Ballarat,C
17,Rural City of Swan Hill,C
18,City of Greater Shepparton,C
19,Rural City of Mildura,C
20,Shire of East Gippsland,C
21,Shire of Bass Coast,C
22,City of Latrobe,C
23,Shire of Surf Coast,C
24,Shire of South Gippsland,C
25,Shire of Macedon Ranges,C
26,Rural City of Horsham,C
27,Shire of Baw Baw,C
28,Rural City of Wangaratta,C
29,City of Melbourne,M
30,City of Moreland,M
31,City of Darebin,M
32,City of Boroondara,M
33,City of Whitehorse,M
34,City of Manningham,M
35,City of Banyule,M
36,City of Maroondah,M
37,City of Knox,M
38,City of Monash,M
39,City of Port Phillip,M
40,City of Kingston,M
41,City of Greater Dandenong,M
42,City of Frankston,M
43,City of Casey,M
44,Shire of Cardinia,M
45,Shire of Yarra Ranges,M
46,City of Hume,M
47,City of Brimbank,M
48,Shire of Melton,M
49,City of Hobsons Bay,M
50,City of Wyndham,M
51,Shire of Mornington Peninsula,M
52,City of Yarra,M
53,City of Maribyrnong,M
54,City of Stonnington,M
55,City of Glen Eira,M
56,City of Bayside,M
57,City of Moonee Valley,M