LGAID,Type,Name
0,N/A,Unincorporated Vic
1,C,Yarra
2,C,Moonee Valley
3,S,Surf Coast
4,C,Brimbank
5,C,Port Phillip
6,S,Murrindindi
7,S,Pyrenees
8,C,Ballarat
9,C,Warrnambool
10,C,Darebin
11,C,Hobsons Bay
12,S,Colac-Otway
13,RC,Ararat
14,C,Greater Shepparton
15,C,Stonnington
16,S,Mornington Peninsula
17,C,Greater Bendigo
18,C,Boroondara
19,C,Monash
20,C,Kingston
21,C,Hume
22,S,Strathbogie
23,S,Cardinia
24,S,Moorabool
25,S,East Gippsland
26,S,Southern Grampians
27,C,Greater Dandenong
28,S,Golden Plains
29,RC,Wodonga
30,S,Indigo
31,C,Greater Geelong
32,C,Frankston
33,C,Maroondah
34,C,Knox
35,C,Bayside
36,S,Yarra Ranges
37,S,Towong
38,C,Banyule
39,RC,Benalla
40,C,Glen Eira
41,C,Casey
42,S,Yarriambiack
43,S,Buloke
44,C,Whitehorse
45,C,Latrobe
46,S,Loddon
47,C,Maribyrnong
48,S,Wellington
49,S,Alpine
50,S,Mitchell
51,C,Moreland
52,C,Manningham
53,S,Baw Baw
54,S,Moira
55,S,Melton
56,RC,Mildura
57,S,Corangamite
58,S,Bass Coast
59,S,Central Goldfields
60,C,Melbourne
61,S,Glenelg
62,S,Mount Alexander
63,S,Hepburn
64,S,Gannawarra
65,C,Wyndham
66,S,Nillumbik
67,S,Hindmarsh
68,C,Whittlesea
69,S,Campaspe
70,S,West Wimmera
71,RC,Wangaratta
72,S,South Gippsland
73,S,Moyne
74,S,Macedon Ranges
75,S,Northern Grampians
76,RC,Horsham
77,RC,Swan Hill
78,S,Mansfield
79,B,Queenscliffe