Year,LGAID,LSID,Offence Count
2023,0,0,274
2023,0,1,26
2023,0,2,72
2023,0,3,147
2023,1,0,705
2023,1,1,63
2023,1,2,223
2023,1,3,419
2023,2,0,4999
2023,2,1,286
2023,2,2,1192
2023,2,3,5238
2023,3,0,4008
2023,3,1,356
2023,3,2,683
2023,3,3,3025
2023,4,0,1296
2023,4,1,209
2023,4,2,501
2023,4,3,951
2023,5,0,2247
2023,5,1,236
2023,5,2,698
2023,5,3,1315
2023,6,0,1542
2023,6,1,356
2023,6,2,607
2023,6,3,3100
2023,7,0,759
2023,7,1,84
2023,7,2,213
2023,7,3,459
2023,8,0,2467
2023,8,1,309
2023,8,2,669
2023,8,3,4423
2023,9,0,7417
2023,9,1,646
2023,9,2,1356
2023,9,3,7625
2023,10,0,164
2023,10,1,17
2023,10,2,147
2023,10,3,101
2023,11,0,1815
2023,11,1,155
2023,11,2,442
2023,11,3,1513
2023,12,0,2903
2023,12,1,306
2023,12,2,967
2023,12,3,2932
2023,13,0,9395
2023,13,1,1164
2023,13,2,2688
2023,13,3,10185
2023,14,0,640
2023,14,1,24
2023,14,2,188
2023,14,3,360
2023,15,0,841
2023,15,1,94
2023,15,2,181
2023,15,3,355
2023,16,0,323
2023,16,1,21
2023,16,2,115
2023,16,3,270
2023,17,0,5657
2023,17,1,575
2023,17,2,1103
2023,17,3,6380
2023,18,0,2600
2023,18,1,432
2023,18,2,783
2023,18,3,1464
2023,19,0,7926
2023,19,1,829
2023,19,2,1374
2023,19,3,4824
2023,20,0,522
2023,20,1,78
2023,20,2,119
2023,20,3,276
2023,21,0,2318
2023,21,1,286
2023,21,2,798
2023,21,3,4260
2023,22,0,957
2023,22,1,74
2023,22,2,242
2023,22,3,372
2023,23,0,256
2023,23,1,49
2023,23,2,78
2023,23,3,346
2023,24,0,5616
2023,24,1,397
2023,24,2,1391
2023,24,3,3872
2023,25,0,8448
2023,25,1,631
2023,25,2,1708
2023,25,3,7987
2023,26,0,10606
2023,26,1,943
2023,26,2,1893
2023,26,3,9159
2023,27,0,4728
2023,27,1,356
2023,27,2,931
2023,27,3,2488
2023,28,0,304
2023,28,1,29
2023,28,2,64
2023,28,3,313
2023,29,0,124
2023,29,1,12
2023,29,2,69
2023,29,3,102
2023,30,0,2384
2023,30,1,260
2023,30,2,549
2023,30,3,2527
2023,31,0,1600
2023,31,1,147
2023,31,2,382
2023,31,3,627
2023,32,0,7990
2023,32,1,783
2023,32,2,2061
2023,32,3,7508
2023,33,0,309
2023,33,1,30
2023,33,2,86
2023,33,3,232
2023,35,0,5400
2023,35,1,507
2023,35,2,1255
2023,35,3,5432
2023,36,0,4470
2023,36,1,611
2023,36,2,1351
2023,36,3,3730
2023,37,0,5812
2023,37,1,825
2023,37,2,1964
2023,37,3,3262
2023,38,0,189
2023,38,1,23
2023,38,2,31
2023,38,3,210
2023,39,0,995
2023,39,1,94
2023,39,2,238
2023,39,3,804
2023,40,0,1708
2023,40,1,175
2023,40,2,520
2023,40,3,2414
2023,41,0,271
2023,41,1,46
2023,41,2,103
2023,41,3,181
2023,42,0,3349
2023,42,1,201
2023,42,2,900
2023,42,3,5263
2023,43,0,3903
2023,43,1,358
2023,43,2,1137
2023,43,3,2268
2023,44,0,16816
2023,44,1,763
2023,44,2,3320
2023,44,3,16865
2023,45,0,5806
2023,45,1,397
2023,45,2,1125
2023,45,3,5534
2023,46,0,4533
2023,46,1,349
2023,46,2,1187
2023,46,3,6681
2023,47,0,3885
2023,47,1,380
2023,47,2,1185
2023,47,3,2621
2023,48,0,2077
2023,48,1,233
2023,48,2,608
2023,48,3,1245
2023,49,0,1554
2023,49,1,99
2023,49,2,224
2023,49,3,705
2023,50,0,5036
2023,50,1,485
2023,50,2,1083
2023,50,3,7025
2023,51,0,3173
2023,51,1,353
2023,51,2,725
2023,51,3,3769
2023,52,0,1299
2023,52,1,90
2023,52,2,251
2023,52,3,953
2023,53,0,4429
2023,53,1,543
2023,53,2,1248
2023,53,3,3708
2023,54,0,419
2023,54,1,44
2023,54,2,133
2023,54,3,498
2023,55,0,323
2023,55,1,15
2023,55,2,80
2023,55,3,207
2023,56,0,320
2023,56,1,55
2023,56,2,146
2023,56,3,303
2023,57,0,761
2023,57,1,117
2023,57,2,244
2023,57,3,654
2023,58,0,573
2023,58,1,74
2023,58,2,159
2023,58,3,270
2023,59,0,4541
2023,59,1,372
2023,59,2,1175
2023,59,3,6639
2023,60,0,150
2023,60,1,29
2023,60,2,39
2023,60,3,151
2023,61,0,31
2023,61,1,5
2023,61,2,4
2023,61,3,53
2023,62,0,1183
2023,62,1,131
2023,62,2,339
2023,62,3,611
2023,63,0,816
2023,63,1,43
2023,63,2,154
2023,63,3,214
2023,64,0,3865
2023,64,1,314
2023,64,2,1191
2023,64,3,5844
2023,65,0,193
2023,65,1,35
2023,65,2,51
2023,65,3,250
2023,66,0,509
2023,66,1,61
2023,66,2,138
2023,66,3,543
2023,67,0,1291
2023,67,1,157
2023,67,2,342
2023,67,3,432
2023,68,0,166
2023,68,1,15
2023,68,2,26
2023,68,3,77
2023,70,0,1462
2023,70,1,108
2023,70,2,400
2023,70,3,745
2023,71,0,1947
2023,71,1,117
2023,71,2,331
2023,71,3,771
2023,72,0,2476
2023,72,1,439
2023,72,2,676
2023,72,3,1090
2023,73,0,92
2023,73,1,13
2023,73,2,24
2023,73,3,58
2023,74,0,3593
2023,74,1,322
2023,74,2,918
2023,74,3,5083
2023,75,0,5843
2023,75,1,998
2023,75,2,1481
2023,75,3,4877
2023,76,0,2180
2023,76,1,129
2023,76,2,486
2023,76,3,1577
2023,77,0,7839
2023,77,1,635
2023,77,2,1922
2023,77,3,8178
2023,78,0,4699
2023,78,1,380
2023,78,2,947
2023,78,3,6809
2023,79,0,3314
2023,79,1,452
2023,79,2,1139
2023,79,3,2208
2023,80,0,164
2023,80,1,21
2023,80,2,58
2023,80,3,170
2022,0,0,213
2022,0,1,37
2022,0,2,62
2022,0,3,147
2022,1,0,804
2022,1,1,74
2022,1,2,134
2022,1,3,330
2022,2,0,5517
2022,2,1,514
2022,2,2,671
2022,2,3,4251
2022,3,0,4494
2022,3,1,596
2022,3,2,452
2022,3,3,2140
2022,4,0,1472
2022,4,1,314
2022,4,2,312
2022,4,3,731
2022,5,0,2388
2022,5,1,354
2022,5,2,475
2022,5,3,922
2022,6,0,1906
2022,6,1,366
2022,6,2,372
2022,6,3,2310
2022,7,0,729
2022,7,1,116
2022,7,2,139
2022,7,3,341
2022,8,0,2492
2022,8,1,462
2022,8,2,446
2022,8,3,3679
2022,9,0,8823
2022,9,1,999
2022,9,2,884
2022,9,3,6021
2022,10,0,146
2022,10,1,21
2022,10,2,61
2022,10,3,61
2022,11,0,1550
2022,11,1,233
2022,11,2,321
2022,11,3,1234
2022,12,0,3072
2022,12,1,547
2022,12,2,609
2022,12,3,1931
2022,13,0,10342
2022,13,1,1964
2022,13,2,1625
2022,13,3,7018
2022,14,0,681
2022,14,1,122
2022,14,2,115
2022,14,3,256
2022,15,0,885
2022,15,1,156
2022,15,2,152
2022,15,3,358
2022,16,0,360
2022,16,1,38
2022,16,2,77
2022,16,3,207
2022,17,0,6397
2022,17,1,774
2022,17,2,775
2022,17,3,4725
2022,18,0,2747
2022,18,1,522
2022,18,2,490
2022,18,3,1118
2022,19,0,7453
2022,19,1,1036
2022,19,2,1062
2022,19,3,3186
2022,20,0,486
2022,20,1,47
2022,20,2,91
2022,20,3,180
2022,21,0,2436
2022,21,1,509
2022,21,2,573
2022,21,3,3416
2022,22,0,999
2022,22,1,132
2022,22,2,171
2022,22,3,348
2022,23,0,270
2022,23,1,36
2022,23,2,30
2022,23,3,264
2022,24,0,5554
2022,24,1,599
2022,24,2,1029
2022,24,3,3285
2022,25,0,8943
2022,25,1,1227
2022,25,2,1187
2022,25,3,5659
2022,26,0,10542
2022,26,1,1282
2022,26,2,1410
2022,26,3,6641
2022,27,0,5579
2022,27,1,535
2022,27,2,772
2022,27,3,2035
2022,28,0,281
2022,28,1,27
2022,28,2,30
2022,28,3,282
2022,29,0,120
2022,29,1,26
2022,29,2,35
2022,29,3,84
2022,30,0,2647
2022,30,1,429
2022,30,2,434
2022,30,3,2425
2022,31,0,1502
2022,31,1,208
2022,31,2,220
2022,31,3,456
2022,32,0,9696
2022,32,1,1474
2022,32,2,1423
2022,32,3,5593
2022,33,0,354
2022,33,1,31
2022,33,2,82
2022,33,3,263
2022,35,0,5079
2022,35,1,763
2022,35,2,919
2022,35,3,3933
2022,36,0,4764
2022,36,1,915
2022,36,2,830
2022,36,3,2624
2022,37,0,6840
2022,37,1,1021
2022,37,2,1152
2022,37,3,2173
2022,38,0,230
2022,38,1,31
2022,38,2,50
2022,38,3,146
2022,39,0,974
2022,39,1,152
2022,39,2,194
2022,39,3,707
2022,40,0,1595
2022,40,1,266
2022,40,2,391
2022,40,3,1559
2022,41,0,189
2022,41,1,24
2022,41,2,46
2022,41,3,123
2022,42,0,3676
2022,42,1,420
2022,42,2,572
2022,42,3,3998
2022,43,0,4562
2022,43,1,559
2022,43,2,753
2022,43,3,1651
2022,44,0,17141
2022,44,1,1344
2022,44,2,3180
2022,44,3,12882
2022,45,0,6246
2022,45,1,770
2022,45,2,734
2022,45,3,4286
2022,46,0,4965
2022,46,1,720
2022,46,2,744
2022,46,3,5497
2022,47,0,4117
2022,47,1,558
2022,47,2,857
2022,47,3,1837
2022,48,0,2358
2022,48,1,336
2022,48,2,331
2022,48,3,843
2022,49,0,1180
2022,49,1,114
2022,49,2,161
2022,49,3,593
2022,50,0,5027
2022,50,1,729
2022,50,2,749
2022,50,3,5277
2022,51,0,3542
2022,51,1,489
2022,51,2,582
2022,51,3,2956
2022,52,0,1116
2022,52,1,110
2022,52,2,145
2022,52,3,654
2022,53,0,4538
2022,53,1,858
2022,53,2,919
2022,53,3,2978
2022,54,0,480
2022,54,1,61
2022,54,2,90
2022,54,3,292
2022,55,0,354
2022,55,1,50
2022,55,2,67
2022,55,3,188
2022,56,0,358
2022,56,1,104
2022,56,2,74
2022,56,3,214
2022,57,0,651
2022,57,1,191
2022,57,2,174
2022,57,3,575
2022,58,0,532
2022,58,1,87
2022,58,2,127
2022,58,3,237
2022,59,0,5245
2022,59,1,671
2022,59,2,955
2022,59,3,5727
2022,60,0,185
2022,60,1,22
2022,60,2,22
2022,60,3,143
2022,61,0,31
2022,61,1,3
2022,61,2,12
2022,61,3,63
2022,62,0,1113
2022,62,1,164
2022,62,2,175
2022,62,3,490
2022,63,0,884
2022,63,1,78
2022,63,2,110
2022,63,3,185
2022,64,0,4665
2022,64,1,581
2022,64,2,1032
2022,64,3,5036
2022,65,0,345
2022,65,1,49
2022,65,2,40
2022,65,3,177
2022,66,0,404
2022,66,1,108
2022,66,2,119
2022,66,3,444
2022,67,0,1335
2022,67,1,199
2022,67,2,204
2022,67,3,336
2022,68,0,60
2022,68,1,19
2022,68,2,22
2022,68,3,58
2022,70,0,1416
2022,70,1,187
2022,70,2,309
2022,70,3,536
2022,71,0,1888
2022,71,1,178
2022,71,2,296
2022,71,3,571
2022,72,0,2555
2022,72,1,517
2022,72,2,426
2022,72,3,983
2022,73,0,47
2022,73,1,10
2022,73,2,16
2022,73,3,44
2022,74,0,3348
2022,74,1,513
2022,74,2,664
2022,74,3,3408
2022,75,0,6351
2022,75,1,1500
2022,75,2,1002
2022,75,3,3624
2022,76,0,1820
2022,76,1,219
2022,76,2,311
2022,76,3,1285
2022,77,0,8411
2022,77,1,1010
2022,77,2,1335
2022,77,3,6892
2022,78,0,5994
2022,78,1,634
2022,78,2,661
2022,78,3,5546
2022,79,0,3541
2022,79,1,734
2022,79,2,835
2022,79,3,1863
2022,80,0,256
2022,80,1,48
2022,80,2,38
2022,80,3,110
2021,0,0,308
2021,0,1,49
2021,0,2,92
2021,0,3,104
2021,1,0,1070
2021,1,1,123
2021,1,2,154
2021,1,3,244
2021,2,0,4924
2021,2,1,493
2021,2,2,722
2021,2,3,4000
2021,3,0,3981
2021,3,1,613
2021,3,2,410
2021,3,3,2347
2021,4,0,1753
2021,4,1,376
2021,4,2,284
2021,4,3,731
2021,5,0,2582
2021,5,1,412
2021,5,2,451
2021,5,3,987
2021,6,0,1618
2021,6,1,349
2021,6,2,326
2021,6,3,2005
2021,7,0,807
2021,7,1,142
2021,7,2,167
2021,7,3,307
2021,8,0,3008
2021,8,1,401
2021,8,2,484
2021,8,3,3555
2021,9,0,8281
2021,9,1,975
2021,9,2,906
2021,9,3,6832
2021,10,0,147
2021,10,1,24
2021,10,2,40
2021,10,3,75
2021,11,0,1604
2021,11,1,239
2021,11,2,422
2021,11,3,1020
2021,12,0,3129
2021,12,1,612
2021,12,2,595
2021,12,3,2084
2021,13,0,9518
2021,13,1,2121
2021,13,2,1391
2021,13,3,6756
2021,14,0,549
2021,14,1,121
2021,14,2,163
2021,14,3,251
2021,15,0,815
2021,15,1,135
2021,15,2,268
2021,15,3,333
2021,16,0,530
2021,16,1,36
2021,16,2,65
2021,16,3,237
2021,17,0,6076
2021,17,1,883
2021,17,2,824
2021,17,3,4858
2021,18,0,2616
2021,18,1,658
2021,18,2,551
2021,18,3,1095
2021,19,0,6664
2021,19,1,1019
2021,19,2,1107
2021,19,3,2958
2021,20,0,444
2021,20,1,45
2021,20,2,94
2021,20,3,210
2021,21,0,2591
2021,21,1,514
2021,21,2,542
2021,21,3,3193
2021,22,0,1088
2021,22,1,127
2021,22,2,226
2021,22,3,315
2021,23,0,277
2021,23,1,33
2021,23,2,31
2021,23,3,263
2021,24,0,5747
2021,24,1,679
2021,24,2,983
2021,24,3,3055
2021,25,0,8768
2021,25,1,1117
2021,25,2,1221
2021,25,3,5445
2021,26,0,10697
2021,26,1,1190
2021,26,2,1449
2021,26,3,6663
2021,27,0,5634
2021,27,1,565
2021,27,2,553
2021,27,3,2350
2021,28,0,226
2021,28,1,40
2021,28,2,42
2021,28,3,247
2021,29,0,254
2021,29,1,33
2021,29,2,33
2021,29,3,132
2021,30,0,2546
2021,30,1,391
2021,30,2,504
2021,30,3,2391
2021,31,0,1630
2021,31,1,170
2021,31,2,240
2021,31,3,384
2021,32,0,9347
2021,32,1,1497
2021,32,2,1556
2021,32,3,5488
2021,33,0,307
2021,33,1,31
2021,33,2,96
2021,33,3,178
2021,35,0,4719
2021,35,1,761
2021,35,2,734
2021,35,3,3389
2021,36,0,5280
2021,36,1,919
2021,36,2,913
2021,36,3,2931
2021,37,0,6885
2021,37,1,1113
2021,37,2,1091
2021,37,3,2250
2021,38,0,284
2021,38,1,25
2021,38,2,47
2021,38,3,183
2021,39,0,1077
2021,39,1,110
2021,39,2,334
2021,39,3,502
2021,40,0,1636
2021,40,1,312
2021,40,2,416
2021,40,3,1648
2021,41,0,245
2021,41,1,45
2021,41,2,71
2021,41,3,128
2021,42,0,3338
2021,42,1,373
2021,42,2,535
2021,42,3,4376
2021,43,0,4160
2021,43,1,551
2021,43,2,644
2021,43,3,2099
2021,44,0,16364
2021,44,1,1246
2021,44,2,4669
2021,44,3,11348
2021,45,0,5948
2021,45,1,816
2021,45,2,698
2021,45,3,4639
2021,46,0,4551
2021,46,1,806
2021,46,2,709
2021,46,3,5572
2021,47,0,3650
2021,47,1,513
2021,47,2,835
2021,47,3,1596
2021,48,0,2149
2021,48,1,426
2021,48,2,297
2021,48,3,802
2021,49,0,1436
2021,49,1,151
2021,49,2,187
2021,49,3,575
2021,50,0,5147
2021,50,1,745
2021,50,2,847
2021,50,3,4743
2021,51,0,3402
2021,51,1,522
2021,51,2,720
2021,51,3,3244
2021,52,0,1031
2021,52,1,149
2021,52,2,238
2021,52,3,702
2021,53,0,4529
2021,53,1,833
2021,53,2,1178
2021,53,3,2471
2021,54,0,473
2021,54,1,79
2021,54,2,99
2021,54,3,273
2021,55,0,385
2021,55,1,44
2021,55,2,72
2021,55,3,205
2021,56,0,427
2021,56,1,105
2021,56,2,80
2021,56,3,196
2021,57,0,955
2021,57,1,223
2021,57,2,150
2021,57,3,874
2021,58,0,604
2021,58,1,94
2021,58,2,188
2021,58,3,208
2021,59,0,5176
2021,59,1,643
2021,59,2,1037
2021,59,3,5473
2021,60,0,232
2021,60,1,29
2021,60,2,35
2021,60,3,160
2021,61,0,30
2021,61,1,3
2021,61,2,9
2021,61,3,45
2021,62,0,1030
2021,62,1,167
2021,62,2,136
2021,62,3,365
2021,63,0,710
2021,63,1,58
2021,63,2,102
2021,63,3,165
2021,64,0,4344
2021,64,1,633
2021,64,2,928
2021,64,3,4697
2021,65,0,372
2021,65,1,58
2021,65,2,40
2021,65,3,179
2021,66,0,607
2021,66,1,107
2021,66,2,152
2021,66,3,498
2021,67,0,1568
2021,67,1,219
2021,67,2,332
2021,67,3,364
2021,68,0,66
2021,68,1,23
2021,68,2,29
2021,68,3,76
2021,70,0,1477
2021,70,1,209
2021,70,2,248
2021,70,3,404
2021,71,0,1904
2021,71,1,173
2021,71,2,325
2021,71,3,725
2021,72,0,2591
2021,72,1,531
2021,72,2,353
2021,72,3,911
2021,73,0,108
2021,73,1,6
2021,73,2,43
2021,73,3,59
2021,74,0,3369
2021,74,1,507
2021,74,2,582
2021,74,3,3145
2021,75,0,6553
2021,75,1,1716
2021,75,2,937
2021,75,3,3937
2021,76,0,1902
2021,76,1,131
2021,76,2,458
2021,76,3,948
2021,77,0,7636
2021,77,1,965
2021,77,2,1147
2021,77,3,6170
2021,78,0,5201
2021,78,1,695
2021,78,2,822
2021,78,3,5432
2021,79,0,4061
2021,79,1,646
2021,79,2,831
2021,79,3,2072
2021,80,0,199
2021,80,1,31
2021,80,2,69
2021,80,3,76
2020,0,0,336
2020,0,1,44
2020,0,2,88
2020,0,3,114
2020,1,0,983
2020,1,1,102
2020,1,2,199
2020,1,3,280
2020,2,0,4948
2020,2,1,498
2020,2,2,975
2020,2,3,3343
2020,3,0,5300
2020,3,1,622
2020,3,2,832
2020,3,3,2702
2020,4,0,1567
2020,4,1,372
2020,4,2,277
2020,4,3,677
2020,5,0,2742
2020,5,1,424
2020,5,2,658
2020,5,3,1259
2020,6,0,2290
2020,6,1,363
2020,6,2,582
2020,6,3,2351
2020,7,0,787
2020,7,1,150
2020,7,2,151
2020,7,3,321
2020,8,0,2939
2020,8,1,448
2020,8,2,728
2020,8,3,3897
2020,9,0,9977
2020,9,1,958
2020,9,2,2458
2020,9,3,6823
2020,10,0,295
2020,10,1,20
2020,10,2,90
2020,10,3,93
2020,11,0,2229
2020,11,1,204
2020,11,2,422
2020,11,3,930
2020,12,0,3544
2020,12,1,614
2020,12,2,1184
2020,12,3,2260
2020,13,0,10503
2020,13,1,2379
2020,13,2,2899
2020,13,3,7407
2020,14,0,679
2020,14,1,97
2020,14,2,154
2020,14,3,233
2020,15,0,993
2020,15,1,130
2020,15,2,298
2020,15,3,389
2020,16,0,436
2020,16,1,42
2020,16,2,151
2020,16,3,238
2020,17,0,7457
2020,17,1,854
2020,17,2,1685
2020,17,3,5741
2020,18,0,2910
2020,18,1,647
2020,18,2,559
2020,18,3,1031
2020,19,0,8009
2020,19,1,1087
2020,19,2,2191
2020,19,3,3497
2020,20,0,581
2020,20,1,62
2020,20,2,152
2020,20,3,166
2020,21,0,2804
2020,21,1,585
2020,21,2,950
2020,21,3,3528
2020,22,0,1114
2020,22,1,114
2020,22,2,181
2020,22,3,270
2020,23,0,244
2020,23,1,64
2020,23,2,43
2020,23,3,237
2020,24,0,6128
2020,24,1,683
2020,24,2,1163
2020,24,3,3088
2020,25,0,8838
2020,25,1,1391
2020,25,2,3068
2020,25,3,6054
